"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/TextInput/TextInput.js", "JavaScript", 23, 0, 0, 3, 26
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/TextInput/text-input.style.js", "JavaScript", 62, 0, 0, 11, 73
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/UpdateProductModal/UpdateProductModal.js", "JavaScript", 207, 0, 20, 13, 240
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/UserTopBar/UserTopBar.js", "JavaScript", 28, 0, 0, 4, 32
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/UserTopBar/user-top-bar.style.js", "JavaScript", 53, 0, 0, 4, 57
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/data/categories.js", "JavaScript", 30, 0, 0, 1, 31
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/data/products.js", "JavaScript", 47, 0, 0, 1, 48
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/index.css", "CSS", 0, 15, 0, 3, 18
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/index.js", "JavaScript", 18, 0, 0, 2, 20
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/AdminOrders/AdminOrders.js", "JavaScript", 127, 0, 0, 8, 135
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/AdminReports/AdminReports.js", "JavaScript", 209, 0, 0, 13, 222
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/Checkout/Checkout.js", "JavaScript", 179, 0, 0, 4, 183
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/Checkout/checkout.style.js", "JavaScript", 25, 0, 0, 4, 29
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/Home/Home.Page.js", "JavaScript", 55, 0, 1, 3, 59
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/Home/home.style.js", "JavaScript", 29, 0, 0, 2, 31
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/Login/Login.js", "JavaScript", 55, 0, 0, 6, 61
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/Login/login.style.js", "JavaScript", 18, 0, 0, 3, 21
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/Payment/Payment.js", "JavaScript", 32, 0, 0, 5, 37
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/Payment/payment.style.js", "JavaScript", 6, 0, 0, 2, 8
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/Products/Products.Page.js", "JavaScript", 50, 0, 0, 3, 53
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/Register/Register.js", "JavaScript", 122, 0, 41, 11, 174
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/User/User.js", "JavaScript", 144, 0, 0, 9, 153
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/UserOrders/UserOrders.js", "JavaScript", 29, 0, 0, 3, 32
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/UserOrders/user-orders.style.js", "JavaScript", 6, 0, 0, 2, 8
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/querries/auth.querries.js", "JavaScript", 173, 0, 0, 9, 182
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/querries/order.querries.js", "JavaScript", 122, 0, 0, 10, 132
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/querries/payment.querries.js", "JavaScript", 72, 0, 0, 4, 76
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/querries/product.querries.js", "JavaScript", 170, 0, 0, 9, 179
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/app/app.actions.js", "JavaScript", 17, 0, 0, 6, 23
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/app/app.reducers.js", "JavaScript", 42, 0, 0, 3, 45
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/app/app.selectors.js", "JavaScript", 19, 0, 0, 7, 26
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/app/app.types.js", "JavaScript", 7, 0, 0, 1, 8
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/cart/cart.actions.js", "JavaScript", 16, 0, 0, 5, 21
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/cart/cart.reducers.js", "JavaScript", 35, 0, 0, 2, 37
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/cart/cart.selectors.js", "JavaScript", 10, 0, 0, 5, 15
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/cart/cart.types.js", "JavaScript", 6, 0, 0, 1, 7
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/cart/cart.utils.js", "JavaScript", 46, 0, 1, 7, 54
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/order/order.actions.js", "JavaScript", 13, 0, 0, 4, 17
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/order/order.reducers.js", "JavaScript", 27, 0, 0, 3, 30
